simulated_personas_10000-2
PersonaID,Area,UrbanRural,Gender,AgeGroup,TopFlavor1,TopFlavor2,TopFlavor3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A2,Urban,Male,26-40,Melon Fresh,Minty Watermelon,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A4,Rural,Male,41,Black Cherry,Berry Ice,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A3,Urban,Male,18-25,Tropical Ice,Peppermint Storm,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A4,Rural,Male,26-40,Bright Spearmint,Tropical Ice,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A1,Rural,Male,26-40,Minty Watermelon,Zesty Orange,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A4,Rural,Male,18-25,Purple Grape,Tangy Lime,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A2,Urban,Female,26-40,Minty Lemon,Wintergreen,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A2,Urban,Male,18-25,Ruby Berry,Tangy Lime,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A3,Urban,Male,26-40,Citrus Burst,Coffee,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A4,Rural,Female,41,Icy Berries,Tropical Ice,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A4,Urban,Male,18-25,Peppermint Storm,Crispy Peppermint,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A4,Rural,Male,26-40,Cinnamon,Black Cherry,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A4,Urban,Male,18-25,Crispy Peppermint,Wintergreen,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A3,Urban,Male,26-40,Tropical Punch,Ruby Berry,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,A2,Rural,Male,18-25,Mango Flame,Citrus Burst,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,A1,Rural,Male,41,Smart Mint,Ruby Berry,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,A2,Urban,Female,18-25,Berry Ice,Peppermint,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A2,Urban,Male,18-25,Mango Flame,Tropical Mango,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,A3,Urban,Female,26-40,Coffee,Cinnamon Flame,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,A3,Urban,Male,26-40,Bright Spearmint,Mango Flame,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A1,Rural,Female,18-25,Purple Grape,Mango Flame,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,A2,Urban,Male,18-25,Tropical Mango,Peppermint Storm,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,A4,Rural,Male,18-25,Mango Flame,Fresh Classic,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,A3,Rural,Female,26-40,Wintergreen,Minty Lemon,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A1,Urban,Male,18-25,Bright Spearmint,Tropical Punch,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,A1,Rural,Male,41,Tropical Ice,Mango Flame,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,A1,Urban,Male,26-40,Minty Lemon,Citrus Burst,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,A4,Rural,Male,18-25,Peppermint,Arctic Peppermint,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,A4,Urban,Male,26-40,Minty Lemon,Tropical Mango,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,A2,Urban,Female,18-25,Icy Berries,Melon Fresh,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,A4,Rural,Male,18-25,Tropical Mango,Bright Spearmint,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,A4,Rural,Male,26-40,Coffee,Minty Watermelon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,A1,Rural,Male,41,Bright Spearmint,Tropical Ice,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,A3,Urban,Female,26-40,Tropical Punch,Icy Berries,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,A3,Urban,Male,18-25,Wintergreen,Tropical Ice,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,A3,Urban,Male,26-40,Tangy Lime,Bright Spearmint,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,A3,Urban,Female,18-25,Tropical Mango,Coffee,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,A4,Urban,Male,26-40,Mango Flame,Black Cherry,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,A1,Urban,Male,18-25,Bright Spearmint,Arctic Peppermint,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,A4,Urban,Female,26-40,Zesty Lime,Icy Berries,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,A2,Rural,Female,41,Arctic Peppermint,Cinnamon Flame,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,A4,Urban,Male,18-25,Minty Watermelon,Arctic Peppermint,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,A2,Rural,Male,26-40,Tropical Mango,Bright Spearmint,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,A1,Urban,Male,26-40,Tropical Mango,Ruby Berry,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,A1,Rural,Male,26-40,Tangy Lime,Wintergreen,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,A3,Rural,Male,41,Mango Flame,Fresh Classic,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,A2,Rural,Male,26-40,Bright Spearmint,Cinnamon,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,A2,Rural,Male,41,Ruby Berry,Mango Flame,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,A4,Urban,Male,41,Minty Lemon,Zesty Lime,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,A2,Rural,Male,26-40,Mango Flame,Peppermint,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,A4,Rural,Male,26-40,Peppermint,Minty Watermelon,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,A3,Urban,Male,41,Strawberry Ice,Ruby Berry,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,A1,Rural,Female,26-40,Ruby Berry,Wintergreen,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,A1,Urban,Male,26-40,Tropical Punch,Mango Flame,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,A1,Rural,Male,18-25,Melon Fresh,Black Cherry,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,A1,Urban,Male,41,Bright Spearmint,Mango Flame,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,A4,Rural,Female,26-40,Citrus Burst,Black Cherry,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,A4,Urban,Female,41,Minty Lemon,Purple Grape,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,A3,Urban,Female,26-40,Arctic Peppermint,Melon Fresh,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,A2,Rural,Male,41,Creamy Latte,Minty Watermelon,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,A3,Urban,Male,26-40,Melon Fresh,Peppermint Storm,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,A3,Urban,Male,26-40,Creamy Latte,Tangy Lime,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,A3,Rural,Male,26-40,Minty Lemon,Minty Watermelon,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,A1,Urban,Male,41,Peppermint,Cinnamon,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,A2,Rural,Female,41,Crispy Peppermint,Zesty Lime,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,A2,Urban,Male,26-40,Tangy Lime,Peppermint,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,A3,Urban,Female,41,Coffee,Cinnamon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,A3,Urban,Male,26-40,Cinnamon Flame,Berry Ice,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,A2,Urban,Female,18-25,Wintergreen,Bright Spearmint,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,A4,Rural,Male,26-40,Black Cherry,Arctic Peppermint,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,A2,Rural,Female,41,Mango Flame,Strawberry Ice,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,A3,Rural,Male,41,Cinnamon,Strawberry Ice,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,A3,Rural,Male,18-25,Minty Watermelon,Tropical Mango,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,A2,Urban,Male,18-25,Tropical Punch,Coffee,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,A3,Rural,Male,41,Berry Ice,Peppermint,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,A1,Rural,Male,18-25,Zesty Lime,Tropical Ice,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,A1,Urban,Female,18-25,Coco,Wintergreen,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,A3,Urban,Male,18-25,Minty Lemon,Melon Fresh,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,A4,Rural,Male,26-40,Coffee,Tropical Mango,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,A2,Urban,Male,26-40,Zesty Orange,Smart Mint,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,A3,Urban,Male,41,Cinnamon,Mango Flame,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,A3,Rural,Male,41,Peppermint Storm,Wintergreen,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,A2,Rural,Female,41,Minty Lemon,Citrus Burst,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,A3,Urban,Male,18-25,Cinnamon Flame,Smart Mint,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,A3,Urban,Male,41,Smart Mint,Tangy Lime,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,A1,Rural,Male,18-25,Strawberry Ice,Crispy Peppermint,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,A1,Rural,Male,18-25,Ruby Berry,Tangy Lime,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,A2,Rural,Female,26-40,Arctic Peppermint,Cinnamon,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,A2,Urban,Male,26-40,Mango Flame,Fresh Classic,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,A3,Urban,Male,26-40,Ruby Berry,Creamy Latte,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,A1,Rural,Male,41,Mango Flame,Coffee,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,A4,Urban,Male,18-25,Arctic Peppermint,Crispy Peppermint,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,A2,Rural,Male,26-40,Mango Flame,Purple Grape,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,A3,Rural,Male,18-25,Fresh Classic,Citrus Burst,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,A2,Rural,Male,18-25,Tropical Punch,Strawberry Ice,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,A1,Rural,Male,26-40,Cinnamon Flame,Tropical Ice,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,A4,Urban,Male,18-25,Berry Ice,Crispy Peppermint,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,A2,Urban,Male,18-25,Arctic Peppermint,Minty Watermelon,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,A2,Urban,Male,18-25,Tangy Lime,Mango Flame,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,A1,Rural,Male,41,Smart Mint,Fresh Classic,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,A3,Urban,Female,18-25,Fresh Classic,Ruby Berry,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,A4,Rural,Male,26-40,Melon Fresh,Tropical Mango,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,A4,Urban,Male,26-40,Coco,Minty Lemon,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,A1,Urban,Male,18-25,Crispy Peppermint,Tropical Mango,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,A3,Rural,Male,41,Bright Spearmint,Tropical Punch,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,A4,Rural,Male,18-25,Minty Watermelon,Tropical Mango,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,A3,Urban,Female,26-40,Zesty Lime,Creamy Latte,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,A3,Rural,Male,26-40,Peppermint,Zesty Orange,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,A1,Urban,Male,18-25,Minty Watermelon,Peppermint Storm,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,A2,Urban,Male,18-25,Ruby Berry,Crispy Peppermint,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,A3,Urban,Male,18-25,Minty Lemon,Cinnamon,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,A2,Urban,Male,41,Tangy Lime,Creamy Latte,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,A3,Urban,Male,18-25,Minty Watermelon,Zesty Lime,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,A2,Urban,Male,41,Creamy Latte,Fresh Classic,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,A2,Rural,Male,26-40,Cinnamon Flame,Purple Grape,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,A3,Urban,Female,18-25,Mango Flame,Arctic Peppermint,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,A1,Rural,Female,26-40,Zesty Lime,Wintergreen,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,A1,Rural,Male,26-40,Coffee,Melon Fresh,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,A2,Rural,Male,26-40,Melon Fresh,Zesty Lime,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,A4,Rural,Female,26-40,Arctic Peppermint,Strawberry Ice,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,A3,Rural,Male,26-40,Zesty Lime,Coco,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,A4,Rural,Male,18-25,Bright Spearmint,Cinnamon,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,A2,Rural,Female,41,Purple Grape,Mango Flame,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,A2,Urban,Male,18-25,Citrus Burst,Minty Watermelon,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,A1,Rural,Female,18-25,Wintergreen,Coffee,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,A4,Urban,Female,18-25,Icy Berries,Wintergreen,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,A2,Urban,Male,41,Creamy Latte,Black Cherry,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,A1,Rural,Male,41,Purple Grape,Arctic Peppermint,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,A3,Rural,Male,26-40,Wintergreen,Tropical Punch,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,A2,Rural,Male,26-40,Tropical Ice,Zesty Lime,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,A1,Rural,Male,41,Coffee,Tropical Mango,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,A2,Urban,Male,18-25,Minty Lemon,Cinnamon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,A2,Rural,Male,18-25,Black Cherry,Zesty Orange,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,A1,Urban,Male,18-25,Peppermint Storm,Fresh Classic,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,A4,Rural,Female,41,Coffee,Tropical Punch,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,A3,Rural,Female,18-25,Tropical Ice,Cinnamon Flame,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,A3,Rural,Female,26-40,Black Cherry,Peppermint,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,A3,Urban,Female,41,Black Cherry,Peppermint Storm,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,A4,Urban,Male,18-25,Citrus Burst,Cinnamon,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,A1,Urban,Female,26-40,Ruby Berry,Creamy Latte,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,A3,Urban,Male,41,Minty Lemon,Cinnamon Flame,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,A4,Rural,Male,26-40,Tropical Punch,Zesty Orange,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,A3,Rural,Male,41,Minty Watermelon,Tangy Lime,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,A4,Rural,Female,26-40,Peppermint Storm,Zesty Lime,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,A2,Urban,Male,18-25,Cinnamon Flame,Peppermint Storm,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,A1,Urban,Female,26-40,Bright Spearmint,Cinnamon Flame,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,A1,Urban,Female,26-40,Minty Watermelon,Tropical Mango,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,A3,Rural,Male,18-25,Zesty Lime,Peppermint Storm,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,A2,Rural,Male,18-25,Crispy Peppermint,Tangy Lime,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,A2,Rural,Female,41,Black Cherry,Fresh Classic,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,A4,Rural,Female,26-40,Wintergreen,Peppermint,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,A1,Rural,Female,26-40,Fresh Classic,Smart Mint,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,A1,Rural,Female,18-25,Tropical Punch,Smart Mint,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,A1,Urban,Male,26-40,Minty Watermelon,Cinnamon Flame,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
